term	description
admission	a voluntary acknowledgment by a party that an allegation of fact made by another party is true — in other words, that the allegation is not in dispute
admission by action	meaning or intention conveyed by an act or gesture
admission of a party	anything said by a party by way of word or conduct that the other party wishes to introduce against that party
adr	abbreviation for alternative dispute resolution .
advance ruling certificate	certificate issued by the commissioner of competition confirming that a proposed purchase of a business does not contravene the provisions of the competition act
advanced	given or provided
adversarial system	a system of resolving disputes by holding a hearing in which the judge or adjudicator does not actively investigate but relies on opposing parties to present evidence and challenge each other's evidence; the adjudicator's decision is based on the evidence thus presented.
adverse effect discrimination	the act of imposing an apparently neutral requirement that disproportionately affects a particular individual or group in a negative way based on a ground of discrimination prohibited under a human rights code
adverse impact discrimination	unintentional discrimination that has an adverse effect on members of certain groups (also known as constructive discrimination)
adverse possession	valid title to land through open, visible, and uninterrupted possession of that property, without the owner's permission, for a period of at least 10 years
adverse possession	the possession of land , without legal title , for a period of time sufficient to become recognized as legal owner . the more common word for this is `` squatters . ''
adverse witness	a witness whose testimony shows her interests to be aligned with the opponent and who is therefore likely to colour her evidence in favour of the opponent
adversely	without the owner's permission
advocacy	process of presenting a position, viewpoint, case, or defence
advocate	a person who pleads for or represents the position or viewpoint of another; also called a "representative"
affiant	a person who swears to the truth of statements set out in her affidavit
affidavit	written statement setting out the evidence of the person who swears or affirms its contents are true in the presence of a commissioner of oaths; often for use in legal proceedings
affidavit	a statement by a person in which the person states that to the best of his or her knowledge , the facts in question are true . an affidavit is sworn before a notary , commissioner for taking oaths , lawyer or some other judicial officer who can administer oaths .
affidavit of documents	an affidavit in which a party identifies those documents that are relevant to the issues in the proceeding and that he has in his possession, power, and control and can produce; he must also identify those documents that he once had in his possession, power, and control but no longer has and those that he objects to producing; privileged documents, such as solicitor–client correspondence, will fall in the latter category; the documents being produced and relied on are contained in a document brief that is filed as evidence in the proceeding and may be referred to in court
affidavit of execution	a sworn statement in writing, signed by the witness to a contract, stating that the witness was present and saw the person signing the contract actually sign it; the affidavit can be used to prove that a party to a contract actually signed it
affidavit of spousal status	affidavit attached to a deed (in use after 1978 until the land registration reform act came into force) that provided evidence of the marital status of the grantors or transferors
affirm	approve and leave in place
affirmation -lrb- solemn -rrb-	a solemn promise that has the same effect as a religious oath .
affirmative action	a policy designed to increase the representation of groups that have suffered discrimination
after acquired property	property of a bankrupt acquired between the date of bankruptcy and prior to the bankrupt 's discharge from bankruptcy .
age cohort	describes the characteristics of the members of an age grouping in the general population such as adolescents aged 13-19, often to distinguish it from other age groupings on the basis of various characteristics of one cohort that differentiate or distinguish it from other cohorts
agency	any body, such as a board, commission, or tribunal, established by government and subject to government control to carry out a specialized function that is not an integral part of a government ministry or department
agent	a party who has the capacity to bind another party in contracting with others
agent	a person appointed by a participant in a proceeding to represent him or her; usually distinguished from counsel; also called a "representative" or "advocate"
agent	a party who has the capacity to bind another party in contracting with others
agent	a person appointed by a participant in a proceeding to represent him or her; usually distinguished from counsel; also called a "representative" or "advocate"
agent	a person who has received , usually by appointment , the power to act on behalf of another .
agent - section 427 of the bank act	a person , usually a trustee in bankruptcy , appointed by a bank to realize on its security as defined under section 427 of the bank act . the security covered is inventory .
agent for service	an individual or a corporation whose responsibilities are to be available to receive service of documents on an extra-provincially registered corporation and to pass these documents on as quickly as possible to the principal
aggravated damages	damages awarded to compensate a party for non- monetary losses intentionally or maliciously caused by the other party's conduct
aggravated damages	special and highly exceptional damages awarded by a court where the circumstances of the tortious conduct have been particularly humiliating or malicious towards the plaintiff / victim .
agreement of purchase and sale	contract created once an offer of purchase and sale has been accepted
agreements to vary	agreements between employers and employees to vary from legislated minimum employment standards with respect to daily and weekly maximum hours of work, overtime hours and pay, and vacation time
air of reality test	a test of whether the defence to a charge is reasonable in light of the evidence
alienage	being outside one's country of nationality or citizenship
alienate	to sell or give completely and without reserve ; to transfer title to somebody else . a voluntary conveyance of property , especially real property .
alimony	a common law action by a wife for support from her husband
alimony	an amount given to one spouse by another while they are separated or divorced .
allegation	an assertion made in a pleading by a party to an action, setting out what she hopes to prove
allied picketing	picketing a workplace that is not the employer of the striking workers but a workplace where work has been reorganized to directly assist the employer of the striking workers
allocation	assignment of a portion of the purchase price to each of the various classes of assets in an asset purchase transaction; affects the calculation of taxable income under the ita for the parties to the transaction; allocation is as agreed upon by the parties
allodial	a kind of land ownership that is unfetterred , outright and absolute . it is the opposite of the feudal system and supposes no obligation to another -lrb- ie . a lord -rrb- .
allonge	a piece of paper which has been attached to a contract , a cheque or any promissory note , on which to add signatures because there is not enough room on the main document .
allowance	compensation paid to the trustee for administering the trust
allowed on consent	an appeal that may be allowed if the minister concedes to the appellant's position
alter ego trust	a particular kind of inter vivos trust, which is used to avoid the 21-year deemed disposition rule in the income tax act
alternate beneficiary	a beneficiary who becomes a beneficiary by taking the place of a previously named beneficiary, most commonly as a result of the death of the previously named beneficiary
alternative dispute resolution	term used to describe various ways of settling disputes without going to court, including arbitration, mediation, and conciliation
alternative dispute resolution	also known as `` adr '' ; methods by which legal conflicts and disputes are resolved privately and other than through litigation in the public courts , usually through one of two forms : mediation or arbitration . the advantages of adr are speed and money : it costs less and is quicker than court litigation . adr forums are also private . the disadvantage is that it often involves compromise .
alternative to personal service	alternative method of delivery of a legal document to another party in a proceeding; may be used when the party being served has a lawyer with instructions to accept service of documents or when personal service has been attempted and has failed
alternative vacation entitlement year	a period used in calculating the entitlement to vacation that does not start with the employee's hiring date or the anniversary of the hiring date
amalgamation	the merging of two things together to form one such as the amalgamation of different companies to form a single company .
ambulatory	something which is not cast in stone ; which can be changed or revoked , such as a will .
amend	to change or correct a pleading, with the object of improving it or making it more complete
amend	to change , to revise , usually to the wording of a written document such as legislation .
amending up	the practice of having the defendant tried on the actual rate of speed instead of the reduced rate of speed specified by the officer when the charges were laid
amicus curiae	latin : friend of the court . refers more specifically to persons asking for permission to intervene in a case in which they are neither plaintiff or defendant , usually to present their point of view -lrb- or that of their organization -rrb- in a case which has the potential of setting a legal precedent in their area of activity .
amortization period	length of time it takes to repay a loan in full following the schedule of monthly payments in the charge
amortization schedule	schedule setting out the breakdown of each monthly blended payment between principal and interest and the remaining principal balance after each payment
animus contrahendi	latin : an intention to contract .
annexation	attachment
annotated	of a court or tribunal decision or a provision of a statute, regulation, or other rule or guideline, a version containing notes or comments intended to explain its meaning
annual meeting	a meeting of shareholders held to consider the minutes of the previous meeting; receive the directors' annual report, the financial statements, and the auditor's report; elect directors; appoint auditors; and conduct any further business properly brought before the meeting
annulment	a declaration that the marriage was never valid
annulment	to make void or to cancel .
antedate	to date back ; retroactively . to date a document to a time before it was written .
antenuptial	an event or document which pre - dates a marriage . for example , an `` antenuptial agreement '' is one which is signed before marriage . a antenuptial gift is a gift given by one spouse to the other before marriage .
anti-lapse provisions	rules designed to allow gifts to certain relatives of deceased beneficiaries that would otherwise lapse
anti-union animus	ill will; where an employer takes an action in order to defeat the employees' right to join a union of their choice
anticipatory breach	an express repudiation that occurs before the time of performance of a contract
appeal	a request for a review of an agency's decision by a higher authority such as a court or a senior government official or body; a right that is available only when provided by statute; distinguished from judicial review
appeal	to ask a more senior court or person to review a decision of a subordinate court or person .
appeal as of right	appeal that a party has a legal right to bring and for which leave to appeal is not required
appearance	the act of showing up in court as either plaintiff , defendant , accused , or any other party to a court action .
appellant	a person who appeals a decision of a government official, a tribunal, or a court
appellate court	the court of appeal or the divisional court
appellate practice	appellate practice refers to the procedure of conducting an appeal , whereby a court decision is appealed to a higher court .
applicant	party who files an application with a court or other tribunal
application	one of the two procedures by which a matter is commenced in a court or a tribunal; the other such procedure is an action
application	the act of making a request usually of the court , for example , an application to have a bankrupt discharged .
application to terminate statutory guardianship of property	application to end the guardianship of the public guardian and trustee
appointment	the act of designating , or the acquisition of some , responsibility or position . for example , the court can appoint a trustee in bankruptcy as receiver of some property .
apportionment	the practice of awarding damages based on the contribution of each negligent party
appraisal rights	a shareholder remedy where a dissenting shareholder may require a corporation to purchase its shares upon the shareholder's complying with the requirements set out in the statutes
appurtenances	things attached to real property or , by their nature , belonging with real property ; e . g . , an easement or a right of way .
arbitrable	whether or not an issue in dispute is one which the arbitrator has jurisdiction to hear
arbitration	an adjudication in which one or more neutral third parties makes a binding decision after holding a hearing; usually refers to an adjudication in which the adjudicator, sometimes called an "arbitrator," is chosen by the parties; see also arbitrator
arbitration	a dispute resolution mechanism , whereby an independent neutral third party is appointed to hear and consider the merits of the dispute , and who renders a final and binding decision called an award .
arbitrator	a person who decides disputes on the basis of evidence submitted by the parties
arguments	presentation to a court or tribunal of reasons to accept a party's point of view, including a summary of the evidence and the law that support this point of view; also called "submissions"
arm 's length	the act of dealing with a person who is not a relative but an independent third party .
arm's-length transaction	a transaction negotiated by unrelated parties, each acting in his or her own independent self-interest; "unrelated" in this context usually means not related as family members by birth or marriage, and not related by business interests
arraignment	the formal reading of the charges to the defendant or the defendant's representative in anticipation of a plea
arrangement	an agreement entered into by a corporation with its shareholders to effect a compromise or arrangement with respect to the rights of the shareholders that cause the corporation difficulty, financial or other
arrears	payments that are past due
arrears	the amount of money by which a contract or obligation is in default .
arrears of rent	unpaid rent that is owed to a landlord
arrest	to take a person into legal custody
articles of incorporation	a document filed with the appropriate government authority that provides for incorporation as of right, provided that the required steps are followed
as of right	without needing the consent of the other party or an order of the court
assault	the intentional creation of the apprehension of imminent harmful or offensive contact
assessment	the valuing of a thing or property
assessment of costs	a costs order made by a judge where the actual amount of the costs is determined at a separate hearing by an assessment officer
assessment of damages	a determination of the money damages owed to the plaintiff by the defaulting defendant(s); may be done by a motion in writing or by an assessment hearing
assessment order	an assessment order is an order made by a judge on a motion in writing for an assessment of damages in an unliquidated claim where all defendants have been noted in default
asset	a thing , chattel , resource or item or piece of property owned or controlled by a person or company .
assign	to transfer a legal right or entitlement (including wages owed or the money in a bank account) to another person
assign	to give or to transfer responsibility to another .
assignee	a party to whom something is transferred, or to whom rights under a contract have been assigned by way of an assignment
assignment	a transfer by one party of his or her rights under a contract to a third party
assignment in bankruptcy	some debtors find that there is insufficient income to pay debts as they come due and they can retain a trustee in bankruptcy and assign most of their assets to the trustee for distribution to creditors, after which debtors may emerge from bankruptcy with most of their debts wiped out; an assignment in bankruptcy, sometimes called voluntary bankruptcy, is distinguished from a petition in bankruptcy, which is involuntary and where a creditor forces the debtor into bankruptcy by filing a petition in bankruptcy
assignment into bankruptcy	the act of a person who places himself or his company into bankruptcy pursuant to the bankruptcy and insolvency act .
assignment of a tenancy	a tenant turning over the rights and obligations of a tenancy to a different tenant
assignment of asset insurance	security given to lender by an assignment of insurance against damage to or theft or loss of assets of the borrower included in the collateral for a loan
assignment of book accounts	the assigning by a company or business to a lender , usually a bank , the interest that the person or company has in accounts receivables .
assignment of life insurance	security given to a lender by an assignment of a life insurance policy taken out by a corporate borrower (often known as key man life insurance)
assignor	a party who assigns his or her rights under a contract to a third party
assumed charge	existing charge taken over by the purchaser, who pays the vendor the purchase price of the property minus the outstanding balance of the charge
asymmetric cryptosystem	a form of electronic signature consisting of a private and public key; the sender controls both and sends them as the signature on a document; the recipient can access the public key to unlock the private key to decrypt the document and verify the signature, but the codes in the private key are not revealed to the recipient
atonement	satisfaction or reparation of a wrong or injury ; to make up for errors or deficiencies .
attendance money	formerly called conduct money, composed of the per diem witness fee and an amount for transportation and lodging in accordance with tariff a
attestation clause	a clause on a job application form that states that the information provided is true and complete to the applicant's knowledge and that a false statement may disqualify the applicant from employment or be grounds for dismissal
attorn	to turn over ; e . g . , rent ; a tenant agrees to recognize a new party as landlord .
attorney	person authorized to act pursuant to a power of attorney
attorney	an alternate word for lawyers or `` barrister & solicitor '' , used mostly in the usa .
attractive nuisance	a dangerous condition of property that may arouse the interest of children
attribution of capital gains	the decision by the canada revenue agency to treat the capital gain of one spouse as the capital gain of the other spouse
audi alteram partem	latin : a principle of natural justice which prohibits a judicial decision which impacts upon individual rights without giving all parties in the dispute a right to be heard .
automated registry	computerized abstract listing all registered documents, including those registered prior to automation
automatic certification	certification that is granted without a vote if a union demonstrates that more than 50 percent of the employees in the bargaining unit have joined the union
autrefois acquit	french word now part of english criminal law terminology . refers to an accused who cannot be tried for a crime because the record shows he has already been subjected to trial for the same conduct and was acquitted .
avulsion	land accretion that occurs by the erosion or addition of one 's land by the sudden and unexpected change in a river stream such as a flash flood .
avunculus	latin : a mother 's brother . `` avuncular '' refers to an uncle .
backsheet	part of every court document, it contains the name, lsuc number, address, and telephone and fax numbers of the lawyer who prepared the document, the short title of proceedings, the court and court file number, the fax number of the person to be served (if known), and a large space reserved for court officials to make entries on
bad faith	for improper purposes, in order to obtain an unfair advantage
bad faith	intent to deceive . a person who intentionally tries to deceive or mislead another in order to gain some advantage .
bad-faith bargaining	the practice of engaging in bargaining with no intention of making an agreement with the other party
bail	criminal law : a commitment made -lrb- and possibly secured by cash or property -rrb- to secure the release of a person being held in custody and suspected of a crime , to provide some kind of guarantee that the suspect will appear to answer the charges at some later date .
bailee	the party who holds or stores goods for another
bailee	the person who receives property through a contract of bailment , from the bailor , and who may be committed to certain duties of care towards the property while it remains in his or her possession .
bailiff	a person who is appointed under the debt collection act who will act or assist any other person to repossess , cease or distrain pursuant to conditions set out in various acts .
bailment	an agreement between parties that one will store the goods of the other
bailor	the party who has handed over goods for storage to another
balance due on closing	exact amount the purchaser pays to the vendor when the real estate deal closes
balance of convenience	a common law test; a court applying this test will balance the prejudice to one party of denying the relief asked for, against the prejudice to the opposing party if the relief is granted
balance of probabilities	the standard of proof in civil lawsuits and most arbitrations; requires that a party prove that its version of the facts is more probable than that of its opponent
balloon payment	final payment for the amount of principal that remains unpaid at the end of the term of a charge
bank act security	security taken in the goods, wares, or merchandise of the borrower pursuant to s. 427 of the bank act
bankrupt	a person who has made an assignment or against whom a receiving order has been made , or the legal status of that person .
bankruptcy	the state of being bankrupt .
bankruptcy court	in ontario, several judges of the superior court with expertise in bankruptcy law have been assigned to sit in what is called bankruptcy court, which is not a formal statutory part of the superior court; its judges sit in toronto, ottawa, and london
bare trust	a trust that has become passive for the trustee because all the duties the settlor may have imposed upon the trustee have been performed or any conditions or terms have come to fruition , such as there is no longer any impediment to the transfer of the property to the beneficiary .
bargaining unit	a group of the employer's employees whom the trade union is entitled to represent
barrister	a litigation specialist ; a lawyer that restricts his or her practice to the court room . canadian lawyers use the title `` barrister and solicitor '' even though , contrary to england , there is no legal distinction between the advising and litigating roles . canadian lawyers can litigate or give legal advice .
battery	any non-consensual physical contact or touching by the defendant to the plaintiff's physical person
battery	intentional physical contact that is harmful or offensive to the other person ; the completion of an assault in tort law .
bench	a judge in court session .
beneficial ownership	where a person has the right of enjoying use and advantage of another 's property .
beneficiary	a person for whom trust property is held, or a person who is entitled to the benefits of an agreement entered into between two or more other parties
beneficiary	the person who is in receipt , or will be in receipt , of some asset , thing , or thing of value . for example , a person can make a will naming someone , usually their spouse , as beneficiary of their estate .
beneficiary	in a legal context , a `` beneficiary '' usually refers to the person for whom a trust has been created .
bereavement leave	permission not to come in to work in order to take part in activities related to the funeral of a relative
berne convention	an international copyright treaty called the convention for the protection of literary and artistic works signed at berne , switzerland in 1886 .
best evidence rule	a largely outdated rule that the original document must be presented in evidence if it is available
beyond a reasonable doubt	a standard of proof normally reserved for criminal matters and requiring the prosecution to prove that the defendant committed the illegal act to the extent that a reasonable person would not doubt that the act was committed
bias	an interest, attitude, relationship, or action that leads a decision-maker to favour one party over another
bill	in parliamentary and legislative practice, a version of a statute (or in municipal practice, a version of a bylaw) introduced in the legislature to be passed as a law
bill of costs	list of allowable fees and disbursements that is used by an assessment officer to assess a litigant's costs after the litigant is successful in obtaining judgment; differs from an account because it does not include all fees charged to a client
bill of exchange	a legal document , such as a cheque , where one person in writing specifies that a third party will pay a person a specific sum of money at a specific time , or upon demand .
bill of lading	a document received by a transportation company acknowledging that it has received certain goods and , for the purpose of transportation , serves as title to that property .
bill of sale	an agreement in writing signifying that one person for a specific sum of money has acquired specific assets .
binding	requiring a lower court to follow a precedent from a higher court in the same jurisdiction ( see also stare decisis )
binding authority	a judicial decision by a higher court that must be followed by lower courts (also known as binding precedent)
blanket mortgage	a mortgage creating a lien against more than one property; developers use blanket mortgages when subdividing large parcels of land into many separate lots; a blanket mortgage is spread over the entire parcel of land, rather than applied to each individual lot
blended payment	charge payment combining principal and interest into equal monthly payments
blind trust	a trust set up by a settlor who reserves the right to terminate the trust but other than that , agrees to assert no power over the trust , which is administered without account to the beneficiary / settlor or the retention of any other measure of control over the trust 's administration . in canada , for example , it is common for government ministers to vest all their investment property to a blind trust to avoid any conflict of interest .
block	area of land created during the remapping of property under polaris
block number	five-digit number assigned to a block; the first part of the pin
boilerplate	standard wording that is part of every copy of a particular type of document
bona fide	in good faith
bona fide	in good faith ; genuine ; without fraud or deceit .
bona fide occupational qualification	a reasonably necessary qualification or requirement imposed in a sincere belief that it is necessary for job performance
bona fide purchaser for value	purchaser of property who gives valuable consideration for the property and is acting in good faith
bona vacantia	property that belongs to no person , and which may be claimed by a finder . in some states , the government becomes owner of all bona vacantia property .
bond	a written instrument with sureties , guaranteeing faithful performance of acts or duties contemplated .
bond -lrb- in bond -rrb-	stored under charge of customs until importer pays duty .
bonus interest	penalty of interest for a period of time, for early payment of a loan
book debts	accounts receivables owned by a company .
book of authorities	a binder containing the cases, statutory provisions, and excerpts from legal texts that a representative will rely on in support of his or her position before a court or tribunal
breach of contract	failure, without legal excuse, to perform a promise imposed by contract
breach of contract	the failure to do what one promised to do under a contract . proving a breach of contract is a prerequisite of any suit for damages based on the contract .
breach of trust	any act or omission on the part of the trustee which is inconsistent with the terms of the trust agreement or the law of trusts . a prime example is the redirecting of trust property from the trust to the trustee , personally .
bridge extension	an interim work permit for a live-in caregiver that is valid for a period of two months
bring down certificate	certified statement by an officer of the vendor or purchaser confirming that the representations and warranties made at the time of the execution of the purchase agreement are also true and correct at the date of closing
browse-wrap contract	an electronic transaction where the purchaser is able to click and see the terms of a contract on a website, but is not required to read or agree to them to complete the transaction
builder 's lien	the action that a supplier of goods or services , in respect of construction , can take by filing an entitlement against that property for monies he is owed . refer to the builder 's lien act .
building permit	document that grants legal permission to start construction of a "building"
bump; bumping rights	the rights of more senior employees to claim the jobs of more junior ones, when the senior employee has been slated for layoff
burden of proof	the responsibility for proving a fact, proposition, guilt, or innocence; can rest with either party in a civil or criminal matter, according to the applicable rules of procedure
burden of proof	a rule of evidence that makes a person prove a certain thing or the contrary will be assumed by the court . for example , in criminal trials , the prosecution has the burden of proving the accused guilt because innocence is presumed .
business person/business visitor	a person who seeks entry to canada through some sort of pre- arrangement, such as an employment contract or under nafta or gats
business record	a record made in the ordinary course of business by an individual performing the duties of employment who has no motive to fabricate
business unionism	describes unions that do not express a political preference, that see themselves as politically neutral or apolitical, and that focus almost entirely on the immediate needs of their members in the negotiating and enforcing of collective agreements
buyer	purchaser of the property
bylaw	law enacted by a subordinate legislative body, such as a municipality, under the authority of a statute
bylaws	rules governing the internal operation of the condominium corporation
bylaws	regulations made by a corporation to govern its internal affairs
cabinet	committee of ministers that holds executive power and is responsible for passing legislation; the cabinet is chaired by the prime minister or the premier of the province, and the members are ministers who have been elected and hold seats in either the house of commons (federal government) or the legislature (provincial governments)
canada industrial relations board	an administrative tribunal set up to administer the labour relations portion of the canada labour code and some parts of the health and safety part of the code
canadian orientation abroad	a one- to five-day program designed to help integrate refugees into canadian society
candid	forthright and sincere, able to look at both sides of an issue without bias
canon law	the law of the christian church . has little or no legal effect today .
capacity	an acceptable ability to observe and then correctly recall observations or experiences, and an acceptable ability to communicate these observations to the trier of fact
capital cost allowance	amount that can be deducted from income each year by a business for depreciation of its capital property
capital disbursements	lump-sum payments made out of the estate other than those that are revenue disbursements
capital gain	in tax law, the portion of the proceeds from the disposition of an asset in excess of the initial tax cost of the asset
capital gains tax	federal tax levied on the profit realized when capital property, other than a principal residence, is sold
capital loss	in tax law, the shortfall that results where the proceeds from the sale of an asset are less than the initial tax cost of the asset, deductible in the calculation of the recipient's taxable income for the year
